,RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,United States,0,384900.0,379900.0,379900.0,375500.0,376159.5,375000.0,375000.0,372500.0,369000.0,365000.0,363990.0,359000.0,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,349900.0,349900.0,349900.0,349900.0,349900.0,349800.0,349900.0,349900.0,349900.0,349900.0,349900.0,349900.0,349900.0,349900.0,350000.0,350000.0,349900.0,349990.0,349900.0,350000.0,357500.0,359900.0,359900.0,359900.0,359900.0,359900.0,363990.0,361995.0,369000.0,365995.0,369000.0,370000.0,374900.0,375000.0,379000.0,379500.0,379000.0,379000.0,379900.0,380000.0,383000.0,384900.0,385000.0,385900.0,389000.0,390700.0,398000.0,399000.0,398900.0,398500.0,399000.0,399900.0,399900.0,399900.0,399900.0,409437.5,410173.0,419000.0,419000.0,419000.0,419000.0,419000.0,424000.0,424900.0,425000.0,425000.0,425000.0,429000.0,429000.0,429999.0,434000.0,434500.0,429950.0,429000.0,430000.0,433722.0,434900.0,434000.0,434900.0,439900.0,445000.0,449000.0,449900.0,449900.0,449900.0,449000.0,450000.0,450000.0,458985.0,459000.0,459500.0,462900.0,465000.0,469900.0,469500.0,469000.0,465000.0,464900.0,469000.0,469900.0,469900.0,469900.0
1,"New York, NY",1,735000.0,729000.0,725000.0,724900.0,729000.0,725000.0,725000.0,725000.0,725000.0,728950.0,730000.0,735000.0,725000.0,725000.0,724900.0,724000.0,719000.0,719900.0,722000.0,719000.0,709000.0,719000.0,725000.0,725000.0,729000.0,729000.0,729000.0,745000.0,749000.0,745000.0,745000.0,739000.0,749000.0,750000.0,750000.0,750000.0,759000.0,759000.0,759500.0,759000.0,759000.0,759900.0,759000.0,769000.0,776044.0,789000.0,799000.0,799900.0,825000.0,799000.0,799000.0,799000.0,824900.0,835000.0,825000.0,830000.0,848000.0,869000.0,883497.5,899000.0,899900.0,899000.0,890000.0,875000.0,875000.0,869000.0,865000.0,869000.0,889000.0,899000.0,899900.0,915000.0,965000.0,950000.0,925000.0,939990.0,915000.0,901000.0,905000.0,899999.0,925000.0,949000.0,950000.0,975000.0,980000.0,989000.0,975000.0,988888.0,979000.0,979000.0,975000.0,975000.0,989000.0,998000.0,999000.0,1025000.0,1020000.0,1035000.0,999000.0,999000.0,995000.0,988000.0,988000.0,979000.0,990000.0,995000.0,998000.0,999000.0,999000.0,999999.0,999000.0,999999.0,999000.0,995000.0,994454.0,995000.0,995000.0,995000.0,999000.0,1021200.0
2,"Los Angeles-Long Beach-Anaheim, CA",2,948012.0,934950.0,924900.0,899000.0,899000.0,899000.0,895000.0,898000.0,885000.0,880000.0,885000.0,875000.0,869000.0,869900.0,850000.0,849000.0,849900.0,849000.0,849000.0,849000.0,839000.0,839000.0,845100.0,839900.0,839000.0,849000.0,849000.0,849000.0,859000.0,875000.0,875000.0,879000.0,890000.0,899000.0,899999.0,905000.0,929000.0,945000.0,950000.0,975000.0,995000.0,995000.0,998000.0,998000.0,999000.0,998000.0,1015000.0,1050000.0,1050000.0,1059000.0,1059000.0,1079000.0,1071668.0,1054997.5,1050000.0,1050000.0,1088000.0,1098000.0,1099000.0,1100000.0,1100000.0,1149000.0,1149000.0,1185000.0,1190000.0,1188000.0,1189900.0,1195000.0,1199000.0,1199000.0,1200000.0,1225000.0,1249750.0,1264027.5,1249844.0,1248000.0,1269000.0,1250000.0,1250000.0,1269000.0,1278000.0,1298888.0,1299888.0,1329900.0,1349900.0,1349000.0,1349000.0,1349000.0,1365000.0,1379000.0,1388000.0,1385000.0,1395000.0,1399000.0,1406950.0,1450000.0,1488000.0,1475000.0,1489900.0,1480000.0,1450000.0,1450000.0,1458800.0,1485000.0,1495000.0,1498000.0,1499000.0,1500000.0,1500000.0,1499000.0,1498000.0,1495000.0,1495000.0,1475000.0,1470000.0,1470000.0,1495000.0,1499000.0,1499999.0,1501000.0
3,"Chicago, IL",3,425000.0,425000.0,424900.0,419000.0,415000.0,414500.0,409956.5,409000.0,399000.0,399900.0,399500.0,399000.0,389000.0,389500.0,388000.0,385900.0,385000.0,385000.0,379000.0,375000.0,375000.0,375000.0,374900.0,374900.0,375000.0,375000.0,369900.0,374900.0,374900.0,375000.0,375000.0,375000.0,375000.0,375000.0,375000.0,375000.0,375000.0,384900.0,384900.0,385850.0,389000.0,396000.0,395000.0,395000.0,399000.0,399900.0,399900.0,399900.0,399999.0,406000.0,409000.0,407000.0,400000.0,400000.0,409900.0,409000.0,409990.0,414900.0,414000.0,410000.0,415000.0,419936.5,424266.5,420000.0,424500.0,424900.0,425000.0,429000.0,430000.0,431930.0,435000.0,435000.0,439000.0,439900.0,439900.0,445000.0,445000.0,449000.0,449000.0,449000.0,450000.0,450000.0,459900.0,460000.0,469000.0,469900.0,465000.0,459999.0,459900.0,464900.0,460000.0,454900.0,459000.0,460000.0,465000.0,465994.5,469900.0,474900.0,469900.0,475000.0,475000.0,475000.0,475000.0,475000.0,475000.0,474999.0,475000.0,475000.0,479000.0,480000.0,475000.0,475000.0,474900.0,474000.0,469000.0,467000.0,465000.0,465000.0,469000.0,469000.0
4,"Dallas-Fort Worth, TX",4,344500.0,340000.0,339900.0,338788.0,339000.0,335000.0,334900.0,329900.0,324999.0,324925.0,324900.0,320803.0,319000.0,319000.0,319000.0,324900.0,325000.0,324900.0,321990.0,322745.0,319000.0,319000.0,319900.0,319900.0,319900.0,319900.0,325000.0,335000.0,336000.0,338000.0,332945.0,329900.0,332068.0,335000.0,339000.0,343990.0,340950.0,339900.0,344500.0,347580.0,349000.0,345000.0,347290.0,349000.0,349999.0,350000.0,350000.0,357933.5,359900.0,361000.0,359900.0,364000.0,363990.0,360000.0,369900.0,372000.0,374900.0,379900.0,379990.0,392990.0,394650.0,395800.0,399990.0,399900.0,399000.0,397144.5,395000.0,395235.0,398000.0,399900.0,400000.0,400990.0,410000.0,410000.0,415000.0,418418.0,416990.0,417000.0,418112.5,419000.0,420000.0,421156.5,425000.0,427500.0,427990.0,429900.0,429900.0,435000.0,435000.0,435000.0,435000.0,432500.0,435000.0,435527.5,434000.0,435000.0,444990.0,442990.0,449900.0,449900.0,452032.0,450000.0,449900.0,445000.0,449000.0,449900.0,449900.0,449990.0,449900.0,449900.0,454900.0,455000.0,453990.0,449950.0,449725.0,449000.0,449000.0,448310.0,448900.0,448900.0
5,"Philadelphia, PA",5,414995.0,415000.0,410000.0,409900.0,417000.0,414900.0,409900.0,405995.0,400000.0,399900.0,399900.0,399900.0,399900.0,399000.0,399000.0,399000.0,399000.0,390000.0,389900.0,389900.0,389900.0,386160.0,389900.0,389900.0,389900.0,389900.0,389900.0,389900.0,392997.5,394000.0,389900.0,389500.0,389900.0,393950.0,395000.0,396750.0,395000.0,395000.0,399000.0,394999.0,395000.0,394997.0,393739.0,395000.0,397900.0,395500.0,399000.0,399900.0,399900.0,399789.0,399900.0,399900.0,400000.0,404990.0,399900.0,399900.0,409900.0,405000.0,409900.0,414900.0,401450.0,404900.0,409900.0,409900.0,419900.0,419900.0,420000.0,424900.0,420000.0,425000.0,425000.0,424990.0,422050.0,425000.0,425000.0,429000.0,429900.0,429900.0,430000.0,429939.0,435450.0,435000.0,439990.0,449000.0,445000.0,444900.0,440557.5,449000.0,450000.0,450000.0,455000.0,459000.0,459900.0,459000.0,459000.0,459000.0,459000.0,459000.0,457997.5,459900.0,454900.0,456900.0,459900.0,459900.0,459900.0,459000.0,462900.0,464900.0,464900.0,464999.0,469000.0,469900.0,469900.0,469900.0,472250.0,469900.0,470000.0,474900.0,475000.0,475000.0
6,"Houston, TX",6,337000.0,334900.0,329900.0,329900.0,329900.0,329900.0,328500.0,325000.0,319000.0,318900.0,315640.0,314900.0,308000.0,309000.0,310000.0,315000.0,315448.5,313045.0,310900.0,310000.0,309000.0,309000.0,307950.0,309900.0,308990.0,307990.0,310000.0,310000.0,310000.0,309990.0,310000.0,310000.0,315000.0,315000.0,315953.0,325000.0,325000.0,325990.0,329990.0,334368.0,335000.0,339000.0,339000.0,340000.0,349000.0,349500.0,351731.0,355247.0,359866.0,361950.0,359000.0,368990.0,369990.0,372900.0,374990.0,375000.0,383990.0,385000.0,385586.0,393999.0,395126.0,395990.0,399000.0,399900.0,399900.0,399000.0,399900.0,399900.0,399900.0,399990.0,399990.0,405000.0,402990.0,402300.0,399999.0,400000.0,399999.0,399990.0,399900.0,399990.0,399900.0,399900.0,399900.0,399900.0,400000.0,400000.0,401990.0,403252.5,401990.0,399990.0,399900.0,399000.0,399500.0,399000.0,399900.0,399950.0,399900.0,399990.0,399999.0,405000.0,405000.0,404787.0,401990.0,402500.0,407990.0,406334.0,405990.0,405000.0,400000.0,407557.0,409000.0,410000.0,415000.0,412000.0,412000.0,414500.0,414990.0,414995.0,413990.0,418074.0
7,"Washington, DC",7,650000.0,649900.0,646000.0,639900.0,641995.0,643899.0,640000.0,634900.0,628000.0,629999.0,629900.0,628750.0,620000.0,625000.0,625000.0,629000.0,632200.0,628250.0,625000.0,625000.0,629900.0,626000.0,625000.0,619900.0,639900.0,649000.0,649000.0,649000.0,650000.0,650000.0,649900.0,649900.0,650000.0,669000.0,674900.0,671990.0,669990.0,669000.0,675000.0,675000.0,680000.0,685000.0,680000.0,689900.0,689900.0,699000.0,699000.0,699000.0,697076.0,697950.0,699000.0,699000.0,699000.0,699000.0,698500.0,685000.0,694833.0,695000.0,694000.0,685000.0,684900.0,689500.0,695000.0,699000.0,699000.0,699999.0,699900.0,699900.0,699999.0,709000.0,709990.0,705000.0,704900.0,715000.0,719000.0,721990.0,724900.0,724900.0,720990.0,724249.0,725000.0,729900.0,739900.0,741495.0,749900.0,749900.0,749000.0,749000.0,750000.0,749900.0,749900.0,749000.0,749950.0,759000.0,754900.0,759900.0,759786.5,759990.0,750000.0,759990.0,759000.0,755153.0,760000.0,759000.0,769000.0,765000.0,775000.0,795000.0,790000.0,789900.0,789990.0,794900.0,795000.0,792000.0,789000.0,789700.0,799000.0,799000.0,799900.0,804709.0
8,"Miami-Fort Lauderdale, FL",8,450000.0,450000.0,449000.0,439000.0,439000.0,435000.0,430000.0,429995.0,425000.0,425000.0,419900.0,417750.0,415000.0,420000.0,405000.0,405000.0,410000.0,410000.0,405000.0,404900.0,409000.0,415000.0,414995.0,419750.0,424424.0,425000.0,425000.0,429638.5,439999.0,435000.0,435000.0,440000.0,450000.0,429900.0,439000.0,439900.0,449999.0,449900.0,449999.0,450000.0,449900.0,450000.0,469000.0,450000.0,459000.0,469000.0,467000.0,477777.0,480000.0,487000.0,479000.0,485000.0,489000.0,485990.0,485000.0,489000.0,489900.0,498800.0,499000.0,499996.5,504400.0,508000.0,510000.0,525000.0,519900.0,520000.0,525000.0,529900.0,529000.0,530000.0,549500.0,550000.0,560000.0,569000.0,569000.0,574900.0,574000.0,579500.0,575000.0,575000.0,579500.0,585000.0,595000.0,599000.0,599000.0,619000.0,609000.0,605000.0,610000.0,615000.0,610000.0,602190.0,619000.0,615000.0,628990.0,635000.0,635000.0,634900.0,639000.0,644949.5,639000.0,640000.0,640000.0,639000.0,649500.0,649000.0,650000.0,659000.0,665000.0,664994.5,669000.0,665000.0,650000.0,650000.0,650000.0,650000.0,650000.0,666657.0,679346.0,689149.0
9,"Atlanta, GA",9,349900.0,349900.0,349900.0,349900.0,344900.0,339500.0,339900.0,339900.0,330000.0,334900.0,325000.0,324900.0,319900.0,318677.0,319900.0,314900.0,315000.0,309900.0,309900.0,309000.0,304200.0,300000.0,299900.0,299900.0,299900.0,299900.0,300000.0,309900.0,315000.0,317925.0,317400.0,312500.0,314900.0,315000.0,320000.0,320000.0,320000.0,324900.0,325000.0,327500.0,329900.0,339900.0,339500.0,339200.0,339000.0,339900.0,342000.0,345000.0,349000.0,349900.0,349900.0,359900.0,359900.0,357957.5,359000.0,359900.0,366945.0,367900.0,363200.0,369000.0,369000.0,372600.0,375000.0,375000.0,375000.0,378186.0,375000.0,379000.0,375000.0,379900.0,379932.0,379500.0,385000.0,394500.0,395000.0,399990.0,399998.0,399900.0,399900.0,403654.5,404900.0,410946.5,418000.0,417990.0,419900.0,422990.0,425000.0,429000.0,429000.0,426990.0,425000.0,425000.0,426150.0,430000.0,429000.0,430000.0,434741.5,435000.0,443160.0,447200.0,445000.0,446884.0,449900.0,449500.0,449000.0,449557.0,450000.0,454000.0,454995.0,453966.5,454000.0,459000.0,453325.0,455000.0,450000.0,449900.0,449900.0,450000.0,449900.0,449900.0
