"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"United States",0,,,1500,1500,1500,1600,1500,1500,1495,1475,1450,1500,1400,1400,1400,1450,1450,1450,1400,1400,1395,1350,1325,1325,1325,1350,1400,1395,1395,1400,1395,1395,1350,1320,1350,1345,1295,1300,1350,1350,1350,1350,1375,1350,1375,1350,1350,1375,1350,1300,1300,1349,1400,1400,1400,1400,1400,1395,1395,1395,1395,1395,1400,1450,1475,1495,1475,1475,1450,1425,1450,1425,1450,1450,1500,1500,1500,1500,1500,1500,1495,1495,1495,1450,1450,1470,1500,1550,1550,1595,1595,1550,1550,1525,1500,1500,1500,1525,1550,1600,1600,1625,1645,1600,1600,1595,1595,1595,1590,1595,1600,1650,1695,1695,1695,1675,1650,1600,1600,1600
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,3192,3300,3150,3300,3245,3400,3500,3300,3300,3100,3000,2975,3000,3150,3100,3200,3200,3600,3300,3225,3035,3250,3200,2800,2900,3125
"Los Angeles-Long Beach-Anaheim, CA",2,,,2950,3000,3000,3100,3200,3100,2990,2887.5,2900,3000,2800,2850,2800,2900,2900,2950,2900,2850,2800,2700,2550,2600,2550,2600,2500,2500,2600,2600,2500,2495,2500,2375,2300,2300,2300,2350,2300,2360,2450,2500,2500,2495,2500,2500,2400,2600,2500,2500,2500,2500,2695,2750,2800,2800,2850,2800,2800,2850,2850,2850,2850.5,2975,3000,3100,3050,3100,3050,3000,3000,3000,3000,3150,3200,3100,3100,3190,3100,2995,3050,2975,3195,2950,3100,3200,3300,3400,3400,3450,3400,3400,3350,3300,3300,3300,3295,3300,3300,3350,3400,3495,3450,3400,3400,3400,3450,3495,3425,3495,3490,3500,3500,3495,3450,3500,3500,3490,3497,3499
"Chicago, IL",3,,1650,1600,1600,1650,1695,1697,1600,1600,1600,1600,1650,1600,1550,1529.5,1595,1600,1600,1650,1615,1600,1575,1500,1500,1500,1500,1545,1500,1525,1557,1550,1550,1500,1485,1450,1485,1486,1450,1500,1500,1543,1541,1575,1600,1575,1590,1550,1600,1579,1550,1550,1550,1600,1605,1625,1625,1645,1649,1600,1600,1600,1620,1621.5,1650,1650,1654,1675,1685,1650,1625,1637,1600,1600,1600,1600,1600,1625,1616,1637.5,1625,1600,1600,1595.5,1595,1575,1575,1600,1619,1650,1678,1700,1675,1650,1625,1613,1623,1600,1605,1650,1650,1695,1700,1725,1700,1700,1675,1650,1650,1645,1650,1650,1695,1700,1700,1725,1750,1738,1700,1695,1685
"Dallas-Fort Worth, TX",4,,1295,1350,1400,1395,1375,1350,1350,1395,1495,1400,1400,1395,1350,1350,1350,1350,1395,1350,1350,1300,1295,1295,1295,1295,1325,1350,1250,1300,1350,1330,1300,1295,1295,1295,1295,1295,1295,1300,1300,1350,1395,1395,1395,1395,1350,1350,1375,1350,1350,1350,1378,1450,1450,1495,1495,1475,1450,1475,1475,1475,1495,1500,1545,1550,1570,1575,1575,1550,1549,1525,1540,1550,1550,1595,1595,1595,1600,1600,1600,1595,1595,1600,1595,1600,1619,1650,1695,1700,1745,1750,1700,1695,1650,1650,1650,1650,1675,1695,1750,1750,1750,1750,1720,1700,1695,1695,1695,1695,1695,1700,1750,1795,1795,1795,1775,1750,1750,1750,1745
"Philadelphia, PA",5,,1498.5,1500,1500,1500,1550,1500,1500,1500,1500,1500,1500,1400,1400,1450,1500,1500,1500,1500,1500,1500,1450,1450,1400,1400,1440,1450,1450,1450,1450,1450,1400,1380,1395,1380,1350,1350,1375,1400,1450,1500,1500,1500,1475,1450,1450,1400,1400,1400,1375,1385,1400,1500,1550,1550,1500,1500,1495,1450,1450,1475,1500,1500,1550,1595,1595,1595,1550,1500,1500,1500,1500,1500,1500,1500,1585,1595,1550,1550,1500,1500,1450,1500,1450,1450,1450,1500,1550,1550,1575,1550,1500,1500,1500,1500,1500,1500,1500,1500,1550,1575,1595,1550,1550,1500,1500,1500,1500,1500,1500,1550,1600,1600,1645,1650,1600,1595,1550,1575,1575
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1400,1395,1400,1475,1550,1595,1600,1600,1595,1550,1575,1575,1575,1575,1600,1650,1650,1675,1680,1669,1650,1625,1639,1650,1650,1650,1680,1695,1650,1650,1600,1600,1600,1575,1575,1500,1575,1595,1600,1650,1650,1650,1650,1650,1650,1600,1600,1600,1600,1600,1650,1650,1690,1695,1695,1669,1650,1645,1610,1600,1600,1645,1650,1671,1699,1700,1700,1695,1675,1650,1650,1625
"Washington, DC",7,,1800,1800,1850,1850,1950,2000,1950,1900,1950,1900,1950,1900,1900,1900,1900,2000,2100,2000,2000,2000,1999,1995,1975,1950,1900,1975,1995,2000,2100,2100,2000,2000,2000,1999,1975,1995,1995,2000,2000,2100,2100,2100,2100,2100,2050,2000,2000,1999,1995,1995,2000,2100,2195,2200,2195,2100,2100,2099,2050,2000,2050,2100,2100,2175,2200,2200,2200,2195,2100,2100,2100,2100,2100,2195,2200,2200,2200,2200,2200,2199,2150,2100,2100,2150,2175,2200,2250,2300,2300,2345,2295,2200,2200,2196.5,2175,2175,2195,2200,2286,2300,2350,2395,2300,2300,2295,2290,2250,2249.5,2250,2300,2399,2425,2475,2450,2400,2395,2350,2350,2350
"Miami-Fort Lauderdale, FL",8,,,2200,2200,2200,2200,2100,2050,2050,2100,2000,2100,1950,1950,1950,1950,2000,2000,1990,1975,1950,1950,1900,1895,1895,1900,1900,1800,1800,1899,1850,1800,1800,1800,1800,1775,1795,1775,1750,1800,1850,1895,1975,1995,2000,2000,2000,2022.5,2000,1999,1975,1995,2050,2075,2100,2075,2100,2095,2000,2000,2000,2000,2000,2100,2100,2100,2115,2150,2100,2100,2190,2200,2200,2200,2200,2200,2200,2200,2165,2150,2100,2150,2200,2100,2150,2195,2200,2200,2245,2250,2254.5,2270,2300,2275,2250,2250,2295,2250,2250,2250,2250,2289.5,2275,2250,2250,2250,2270,2275,2250,2259,2300,2300,2300,2300,2300,2300,2300,2300,2276.5,2279
"Atlanta, GA",9,1099,1195,1200,1200,1200,1250,1250,1250,1250,1200,1200,1250,1195,1175,1150,1200,1200,1200,1175,1150,1100,1100,1100,1100,1095,1075,1100,1050,1085,1095,1095,1090,1095,1050,1000,1000,1000,985,1000,1000,1095,1095,1100,1100,1100,1100,1095,1100,1100,1095,1095,1095,1100,1115,1125,1150,1150,1150,1150,1150,1145,1150,1195,1200,1200,1250,1250,1200,1200,1200,1200,1200,1225,1225,1250,1275,1300,1300,1300,1300,1295,1300,1300,1295,1300,1347,1350,1400,1400,1425,1450,1400,1400,1395,1395,1395,1400,1400,1439,1495,1495,1500,1500,1495,1470,1450,1450,1450,1475,1475,1495,1515,1565,1575,1575,1550,1535,1500,1515,1500
"Boston, MA",10,,,1500,1650,1800,1650,1650,1700,1650,1650,1695,1700,1800,1800,1800,1965,2100,2000,2000,1995,1900,1835,1850,1900,2000,2000,2000,2000,2150,2200,2200,2088.5,2160,2122,2100,2084,2150,2150,2150,2200,2285,2365,2400,2350,2300,2300,2300,2300,2400,2400,2400,2400,2650,2700,2600,2500,2400,2389,2370,2438,2600,2650,2700,2700,2700,2700,2700,2600,2500,2475,2475,2500,2700,2800,2800,2799,2750,2800,2700,2700,2550,2500,2500,2500,2700,2800,2850,2900,2950,2900,2875,2750,2700,2600,2600,2700,2800,2850,3000,3200,2900,2850,2895,2800,2710,2700,2700,2791,2900,3000,3000,3100,3000,3000,2950,2850,2800,2750,2750,2777.5
"San Francisco, CA",11,,,,,,2800,2825,2500,2300,2250,2250,2375,2195,2100,2100,2100,2150,2100,2200,2195,2200,2200,2200,2100,2050,2100,2200,2050,2000,2100,2100,2050,2050,2050,2069,2000,2019,2000,2000,1995,2000,2050,2100,2095,2200,2200,2195,2295,2250,2200,2200,2250,2400,2495,2600,2695,2700,2700,2700,2800,2700,2795,2800,2895,2995,3200,3200,3150,3100,3100,3150,3195,3195,3200,3295,3295,3290,3300,3350,3200,3200,3090,3095,3000,3100,3200,3250,3395,3500,3500,3500,3500,3400,3300,3299,3300,3250,3290,3300,3395,3500,3500,3500,3500,3490,3400,3400,3400,3400,3400,3400,3500,3500,3500,3500,3500,3500,3400,3400,3395
"Detroit, MI",12,,1174.5,1300,1250,1250,1300,1200,1200,1200,1100,1100,1100,1000,995,1000,1050,1100,1100,1100,1100,1000,850,820,850,850,850,850,850,850,850,850,875,850,850,850,825,825,825,850,850,850,850,850,850,850,850,850,850,850,850,850,850,875,895,895,900,880,900,900,900,890,885,900,900,900,900,900,900,900,900,900,900,900,900,950,975,950,950,1000,1000,950,995,1000,975,950,950,950,995,1000,1000,1000,1000,1000,1000,999,975,995,999,1000,1050,1050,1075,1050,1095,1095,1050,1050,1050,1000,1025,1050,1100,1100,1100,1100,1100,1100,1100,1100,1050
"Riverside, CA",13,,,,,,,,,,,,,,1800,1800,1850,1850,1800,1725,1700,1675,1650,1600,1600,1600,1600,1600,1550,1550,1550,1590,1550,1500,1550,1575,1550,1579,1592,1599,1600,1625,1600,1600,1649,1650,1649,1599,1600,1600,1595,1595,1595,1695,1695,1650,1675,1685,1650,1650,1695,1695,1695,1700,1750,1750,1750,1785,1750,1750,1750,1750,1750,1795,1795,1800,1800,1795,1795,1795,1770,1750,1795,1800,1775,1800,1850,1895,1925,1950,1975,1985,1975,1995,1995,1995,2000,2000,2046,2099.5,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2175,2195,2195,2195,2195,2195,2150,2145,2119,2150
"Phoenix, AZ",14,,,1500,1500,1400,1462.5,1395,1395,1300,1345,1300,1300,1195,1195,1195,1200,1200,1195,1150,1150,1125,1100,1099,1095,1100,1100,1146,1150,1195,1195,1175,1150,1125,1100,1100,1100,1100,1100,1100,1150,1150,1150,1150,1100,1150,1150,1145,1150,1150,1125,1150,1150,1200,1225,1200,1250,1219,1200,1225,1250,1250,1275,1295,1300,1325,1325,1300,1295,1295,1295,1300,1300,1349,1350,1375,1395,1350,1350,1350,1300,1300,1300,1300,1295,1350,1375,1400,1450,1485,1475,1450,1450,1445,1425,1400,1415,1425,1450,1495,1500,1550,1550,1570,1523,1500,1500,1500,1540,1550,1550,1600,1650,1670,1665,1650,1645,1625,1595,1575,1580
"Seattle, WA",15,,1400,1595,1595,1600,1650,1750,1775,1695,1685,1650,1595,1595,1595,1572.5,1595,1650,1650,1650,1625,1647,1599,1500,1500,1500,1500,1585,1595,1550,1595,1600,1595,1545,1500,1495,1450,1450,1431.5,1450,1500,1595,1650,1650,1650,1695,1675,1650,1650,1600,1600,1600,1600,1695,1700,1750,1750,1750,1745,1750,1700,1700,1700,1749.5,1745,1800,1850,1900,1950,1899.5,1900,1900,1895,1895,1950,1950,1950,1995,2000,2130,2100,2095,2000,1995,1995,2100,2200,2242.5,2300,2395,2475,2495,2450,2395,2300,2300,2300,2295,2300,2350,2400,2462.5,2495,2495,2450,2395,2350,2300,2300,2300,2345,2395,2400,2500,2500,2499,2495,2400,2395,2367,2350
"Minneapolis-St Paul, MN",16,,,,,,,,,1400,1400,1400,1499,1350,1395,1395,1399,1397,1395,1395,1400,1400,1395,1350,1345,1350,1350,1350,1350,1375,1395,1350,1350,1395,1400,1350,1350,1350,1350,1375,1390,1395,1395,1395,1395,1400,1400,1450,1450,1450,1450,1425,1400,1450,1450,1450,1475,1450,1450,1450,1445,1440,1450,1450,1495,1495,1495,1495,1495,1495,1495,1495,1495,1500,1500,1500,1499,1500,1500,1500,1500,1495,1495,1525,1499,1550,1550,1595,1595,1600,1630,1650,1650,1600,1600,1680,1667.5,1650,1650,1675,1695,1700,1700,1725,1730,1700,1725,1750,1760,1745,1775,1770,1795,1795,1775,1750,1750,1750,1750,1750,1765
"San Diego, CA",17,,,,,,,,,,,,,,2500,2500,2597.5,2650,2500,2500,2495,2400,2300,2250,2200,2200,2200,2200,2150,2195,2250,2295,2250,2200,2200,2195,2150,2150,2150,2190,2200,2325,2350,2375,2395,2400,2400,2300,2400,2389,2300,2295,2295,2495,2500,2500,2500,2500,2500,2550,2500,2550,2581.5,2500,2500,2500,2550,2549.5,2500,2500,2500,2500,2600,2600,2650,2650,2600,2590,2600,2550,2595,2550,2550,2550,2500,2600,2700,2750,2800,2850,2800,2800,2800,2800,2795,2795,2800,2800,2895,2850,2900,2950,2995,2995,2995,2895,2800,2835,2895,2881.5,2900,2900,2995,2995,2950,2900,2950,2950,2895,2900,2947.5
"St. Louis, MO",18,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1050,1050,1000,1025,1000,1000,980,900,900,900,900,895,900,900,900,900,925,950,950,950,925,950,900,895,900,900,950,952.5,995,1000,995,990,950,950,950,925,925,950,925,975,975,950,950,950,950,950,950,975,995,1000,1000,1025,1050,1000,995,1000,990,1000,995,995,995,1000,1000,1025,1025,1000,995,995,995,975,975,975,995,1025,1045,1090,1090,1062,1050,1000,1000,1000,1000,1000,1025,1057.5,1050,1099,1075,1050,1050,1050,1025,1045
"Tampa, FL",19,900,996,1025,1100,1150,1075,1100,1150,1195,1200,1200,1200,1175,1200,1200,1200,1200,1200,1200,1200,1200,1188,1150,1195,1150,1150,1200,1181,1195,1200,1200,1200,1195,1195,1195,1195,1195,1200,1200,1250,1300,1295,1295,1300,1279.5,1277.5,1250,1275,1250,1250,1250,1250,1300,1300,1300,1299,1295,1295,1300,1300,1295,1300,1325,1350,1350,1350,1375,1365,1350,1350,1350,1350,1350,1350,1400,1400,1395,1400,1400,1375,1392.5,1350,1379,1365,1400,1400,1450,1489,1495,1495,1495,1490,1462.5,1450,1450,1475,1475,1495,1500,1545,1550,1550,1550,1525,1500,1500,1500,1525,1500,1545,1572.5,1600,1600,1600,1600,1595,1600,1600,1600,1600
"Baltimore, MD",20,,1562,1500,1500,1600,1600,1600,1700,1600,1600,1600,1600,1500,1500,1500,1500,1500,1500,1595,1600,1550,1500,1500,1500,1500,1500,1500,1350,1385,1450,1450,1450,1475,1400,1495,1400,1400,1400,1450,1500,1500,1500,1500,1500,1500,1500,1475,1600,1550,1500,1500,1500,1630,1650,1695,1650,1650,1600,1600,1600,1650,1600,1650,1650,1650,1700,1700,1650,1600,1600,1600,1600,1600,1600,1600,1600,1600,1650,1650,1650,1600,1600,1600,1595,1550,1592,1600,1600,1600,1650,1695,1650,1600,1600,1600,1599,1575,1595,1600,1600,1650,1650,1675,1650,1600,1600,1600,1600,1595,1595,1600,1600,1650,1650,1650,1650,1600,1600,1600,1600
"Denver, CO",21,,,,,,,,,1500,1450,1525,1512.5,1395,1400,1400,1495,1495,1462.5,1450,1450,1400,1400,1395,1375,1395,1395,1400,1500,1500,1500,1500,1500,1495,1450,1400,1395,1450,1422.5,1450,1550,1495,1495,1650,1697,1695,1650,1650,1675,1650,1650,1650,1650,1725,1795,1800,1800,1895,1875,1850,1850,1850,1909,1900,1925,2000,2000,2000,2000,2000,1995,1995,1989,1995,2000,2000,2000,2000,2050,2000,2000,1995,1995,1950,1950,1995,2000,2035,2100,2100,2150,2150,2095,2000,2000,2072.5,2060,2095,2100,2182.5,2200,2200,2200,2200,2195,2175,2125,2100,2125,2195,2200,2200,2250,2289.5,2295,2258,2250,2275,2200,2227.5,2235.5
"Pittsburgh, PA",22,,,,,,,,,,,,,,,,,,,,,,,900,950,1000,1000,1050,1000,1100,1150,1125,1150,1050,1050,1000,950,975,1000,1100,1140,1100,1150,1200,1200,1150,1100,1072.5,1050,1100,1095,1100,1150,1200,1250,1250,1200,1199.5,1095,1050,1045,1095,1095,1150,1200,1199,1200,1200,1200,1150,1100,1100,1100,1100,1150,1200,1200,1200,1199,1200,1200,1100,1000,1075,1000,1100,1100,1150,1200,1200,1199,1200,1187.5,1100,1100,1125,1146,1150,1155,1195,1200,1200,1200,1195,1130,1100,1100,1150,1190,1195,1200,1225,1250,1245,1200,1200,1195,1125,1150,1195,1200
"Portland, OR",23,,,,,,,,,1300,1295,1295,1300,1325,1300,1295,1385,1395,1395,1400,1399,1395,1350,1299.5,1347.5,1300,1295,1350,1395,1395,1395,1395,1395,1350,1395,1350,1350,1350,1345,1350,1395,1400,1450,1495,1495,1475,1450,1450,1450,1425,1400,1425,1450,1495,1495,1500,1575,1575,1550,1550,1550,1550,1545,1575,1595,1600,1650,1695,1695,1695,1695,1695,1695,1695,1695,1750,1750,1745,1795,1795,1795,1795,1750,1795,1695,1795,1795,1800,1895,1895,1975,1995,1950,1895,1895,1850,1895,1875,1875,1890,1895,1900,1950,1995,1985,1950,1899,1895,1895,1895,1895,1927,1995,1995,1995,1995,1995,1995,1990,1950,1950
