"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
102001,"United States",0,106271,106312,106411,106551,106774,107045,107361,107674,107999,108323,108612,108848,109020,109229,109462,109770,110075,110432,110755,111166,111598,112272,112829,113303,113498,113736,114034,114426,114900,115462,116055,116598,117068,117526,118025,118519,119003,119455,120038,120708,121357,121973,122571,123311,124049,124827,125522,126173,126764,127344,127956,128643,129427,130271,131116,132007,132895,133750,134458,135115,135734,136367,137023,137754,138567,139417,140267,141079,141835,142544,143205,143846,144446,145088,145815,146692,147671,148680,149689,150661,151600,152458,153251,154002,154748,155559,156419,157413,158544,159787,161022,162140,163174,164193,165287,166459,167670,169029,170529,172239,173986,175733,177374,178907,180413,181881,183333,184781,186391,188098,189960,191917,193958,195971,197801,199420,200804,201934,202948,203971,205052,206114,207066,207878,208594,209093,209462,209601,209635,209551,209453,209338,209247,209026,208690,208211,207779,207222,206579,205675,204690,203449,202063,200515,198924,197351,195754,194137,192374,190672,188998,187260,185469,183654,182180,180779,179483,178181,177045,176124,175321,174601,174052,173827,173738,173648,173485,173429,173540,173568,173349,172683,171844,170831,169836,168772,167783,166803,165903,165065,164221,163366,162570,161988,161531,161136,160679,160264,159872,159621,159491,159661,160022,160530,161012,161512,162012,162527,163095,163760,164493,165369,166352,167533,168770,170079,171401,172715,173945,175079,176153,177130,178056,178958,179908,180735,181455,182107,182762,183316,183699,184025,184471,185091,185814,186547,187387,188360,189392,190384,191213,191904,192546,193198,193897,194595,195461,196436,197529,198539,199636,200667,201660,202498,203257,204026,204883,205910,207017,208151,209355,210646,212045,213331,214492,215402,216244,217139,218184,219364,220638,221938,223371,224836,226342,227684,228802,229680,230409,231095,231808,232591,233486,234488,235524,236505,237424,238252,238949,239482,239932,240426,241027,241695,242516
394913,"New York, NY",1,189978,189489,188926,188493,188257,188269,188471,188860,189366,190035,190664,191273,191672,191986,192388,192850,193368,193875,194437,195411,196552,197730,198345,198691,198886,199212,199603,200108,200879,201942,203248,204596,206020,207128,208323,209459,210917,212445,214141,216261,218150,220089,221813,223942,226105,228218,230451,232690,234932,236927,239061,241452,243968,246579,249160,251848,254400,256741,259143,261348,263629,265691,267984,270358,273010,275810,278941,282020,284994,287845,290484,292904,295196,297514,300266,303445,307545,311970,316419,320543,324700,328699,332541,336456,339945,343380,346668,350386,354204,357866,361350,364747,368042,371591,374885,378256,381312,384968,389006,393788,398756,403967,409154,414132,418644,422713,426478,430159,434581,439289,444107,448803,453760,458974,464236,468889,473335,476849,480308,482747,484918,486584,488394,489771,490475,490366,489381,487836,485878,483901,482437,482166,481491,480793,478908,477130,475560,473772,472742,471301,469797,468150,466252,463758,460996,457038,453569,450036,447318,444373,441106,437479,434094,430235,426529,422794,419289,416359,413506,411087,408741,407189,406172,405585,405297,405224,405458,405104,404758,404093,404408,404725,405008,404382,402944,400991,398723,397203,395931,395075,393528,391965,389979,388316,386609,384939,383203,381146,379326,377665,376278,375237,374457,374228,374320,374397,374288,374021,373698,373677,373901,374293,375112,376106,377827,379786,381743,383545,385011,386520,388155,389751,391101,392773,394381,396216,397709,399221,400610,401485,402021,402327,402546,402650,403027,403561,404659,405581,407024,408271,409683,410497,410902,411246,411623,412669,413379,414077,414834,416146,418067,419815,421266,422302,423123,423977,424940,426072,427285,429180,431023,433503,435617,438727,441420,443961,445755,447253,448544,449745,451040,453139,455887,459215,462712,465604,467668,468317,468616,469163,470250,471437,472444,473238,474258,475593,477245,478580,479181,479056,478471,477668,476858,476286,476594
753899,"Los Angeles-Long Beach-Anaheim, CA",2,192573,191987,191614,191537,191661,191791,191754,191699,191724,192147,192015,192025,191719,191831,192102,192672,193788,195007,196023,196970,197860,200116,202538,204819,205915,206954,208226,209369,211004,212853,214728,216612,217847,219865,221497,223361,224564,225777,227943,230426,232258,233516,234762,236790,238558,240199,241685,243638,245802,248014,250437,253115,256031,258664,260855,263019,265026,266714,268395,270272,272768,275072,277505,280251,283265,286234,288911,291321,293601,295559,297792,300630,304224,308237,312719,318687,325009,331196,336320,341448,346139,350000,353347,357315,361838,367589,372355,379207,386571,395027,401430,407658,413385,420283,427681,436493,446692,459329,471999,483912,494058,504082,512981,518459,523631,528219,534964,542687,550885,559034,566837,576913,587769,598727,608500,614219,619545,623732,627993,632415,636373,641816,646062,648344,651239,650441,650607,648127,646323,644662,642760,641096,638905,635670,632856,627861,622484,614864,606854,599903,590988,582623,571097,559808,545288,531056,517985,506900,497718,491445,484136,475081,462767,453831,448920,445868,443036,440575,437336,435944,435745,437468,438985,442022,446224,447154,445625,445718,449012,453452,452626,450437,446435,443261,439283,434897,432720,431124,430821,428901,427292,422669,421465,420731,419299,415450,411330,410582,410463,409360,408362,407868,408985,410705,412778,416040,418655,421521,425378,429591,436059,442169,451753,461361,472088,480619,489256,496990,505146,511756,516574,521913,526779,531990,534113,534814,534283,534208,534165,535080,533588,532982,533136,536738,541208,546443,552152,556677,558776,560805,562757,563999,565131,566925,570942,574791,581709,586381,591624,593852,597647,600760,603236,603623,604608,606595,611050,615416,619571,625066,629429,633528,636004,639443,642811,643425,643549,644345,648462,655043,662140,667965,674022,679005,683965,685961,687935,686401,684640,682447,684613,686805,687943,688081,687534,686720,686965,687765,689167,687473,686945,688263,692730,695963,699792
394463,"Chicago, IL",3,161682,161489,161806,161875,162207,162800,163553,164282,164839,165313,165697,165905,165841,166173,166302,166457,163933,160884,155936,152270,149575,148810,148928,148837,148725,148605,148686,149367,150865,153043,155496,157738,159393,160305,160870,161225,161595,161801,162621,163821,165019,165979,166882,168059,169097,170317,171379,172288,172893,173443,174227,175316,176801,178504,180267,182075,183688,185011,185852,186568,187193,188009,188961,190115,191559,193216,195092,196854,198294,199323,200168,200994,201503,202086,202830,204236,205967,207843,209703,211273,212853,214107,215266,216027,216860,217423,218133,219067,220658,222656,224661,226557,228099,229606,230689,231518,232405,233371,234882,236508,238558,240561,242745,244980,247213,248995,250486,251630,252879,254135,255752,257581,259733,262251,264833,267201,269259,270891,272042,272906,273423,274043,274386,275055,275958,276991,277892,278676,279350,279974,280133,279792,278849,277622,276541,275721,275306,274667,274144,273652,272753,271590,268262,267269,263953,263224,259466,258280,255041,253357,250108,247508,243725,239267,235880,232303,230487,227750,225869,224157,222835,220744,219025,217323,216989,215873,215426,213642,214032,212964,213539,210949,209801,207351,205973,203225,200915,198616,196817,195553,193897,193074,191543,191158,190026,189142,186861,185579,183352,182260,180004,179907,179672,180239,180167,179377,178721,177877,178386,178888,179209,179901,180838,181876,183320,184691,186862,188508,190692,192300,194549,195418,196562,197064,198343,199106,199638,200423,201639,202478,202744,202980,203256,203569,203910,204191,204685,205733,207256,208481,208689,208609,208437,208305,208290,208335,209004,209890,211679,213303,214699,215558,216154,216704,217071,217277,217680,218431,219728,221409,223205,225246,226988,228222,228605,228468,228518,228795,229616,230477,231823,233371,234922,236098,237121,237936,238597,238681,238729,238899,239166,239525,239865,240375,241328,242334,243262,243731,243724,243447,243046,242640,242345,242145,242234
394514,"Dallas-Fort Worth, TX",4,112509,112645,112745,112879,113155,113531,113975,114274,114624,114868,115131,115130,115040,114926,114988,115191,115517,115932,116374,116642,117023,117647,118248,118593,118435,118422,118529,118915,119353,119838,119873,119908,119881,120621,121498,122453,123136,123719,124419,125208,125845,126312,127118,128032,128914,129353,129667,129824,129782,129756,129790,129988,130446,131027,131672,132198,132727,133018,132731,132360,131962,131933,131842,131913,132342,132722,133074,133167,133397,133667,134032,134354,134664,134953,135503,136123,136910,137507,138039,138431,138833,139172,139310,139370,139292,139247,139316,139389,139722,140057,140478,140703,140753,141605,143159,145544,147202,148000,148169,148258,148778,149255,149763,149985,150159,150977,151381,151757,151675,151882,152195,152405,152888,153356,153468,153536,153336,153477,153786,154160,154593,155064,155575,155850,156124,156476,157350,157778,158191,157865,157407,156962,157048,157390,157743,158058,158642,159378,159909,160078,160151,159080,157657,155956,155196,154660,154323,154157,153815,153139,152231,151409,150862,150483,150495,150628,150861,151004,150926,150965,150912,151034,151054,151539,151865,151791,151490,151250,151610,151717,151759,151129,150382,149390,148534,147542,146956,146498,145941,145454,144792,144452,143904,143828,143787,143956,143886,143665,143188,142874,143288,143963,144767,145324,145943,146658,147134,147535,147838,148405,148947,149622,150215,151157,152226,153450,154674,155932,156925,158014,159151,160473,161593,162349,163281,164196,165279,166315,167529,168371,169136,169669,170665,171917,173332,174746,176174,177852,179715,181670,183604,185450,186570,187520,188555,190157,192027,193540,195197,196750,198769,200873,202852,204830,205982,207173,208443,210362,212456,214132,216033,217579,219554,221305,223058,224401,225385,226689,228247,230063,231663,233240,235160,237149,238997,240395,241692,242661,243446,244003,244749,245768,247099,248714,249909,250661,250968,251340,251529,251705,252091,252939,253225,253509,253404
394974,"Philadelphia, PA",5,121226,120852,120633,120534,120489,120604,120867,121216,121557,121913,122120,122194,122131,122146,122226,122352,122479,122658,122891,123231,123640,124063,124350,124433,124324,124136,124001,123969,124170,124517,124989,125387,125801,126180,126551,126777,126940,127067,127276,127615,127942,128383,128827,129584,130450,131407,132273,132818,133246,133499,133879,134266,134757,135433,136210,136999,137738,138504,139295,139981,140544,140995,141557,142308,143220,144327,145393,146602,147553,148579,149459,150384,151283,152139,153227,154461,156192,158153,160149,161871,163588,165188,166686,167871,169138,170529,172186,174103,176251,178594,180737,182770,184431,186069,187526,189003,190575,192550,195014,197957,201271,204374,206967,209127,211441,213952,215958,217577,219165,221473,224366,227607,230898,234037,237059,239614,241918,243562,244990,246091,247407,248783,250314,251753,252931,253779,254297,254415,254234,253838,253586,253686,253844,254394,254714,255108,254911,254645,254448,254146,253586,252452,251848,251334,251091,250068,248746,247123,245580,243956,242319,240730,239143,237543,236370,235681,235279,234608,233807,232830,232091,231386,231228,231262,231255,231194,230940,230857,230915,231223,231464,231158,230193,228640,226834,224865,223235,221887,221013,220179,219122,217741,216232,214960,213975,212909,211848,210767,209898,208920,208058,207717,207769,207848,207527,207001,206473,206103,205781,205588,205392,205513,205759,206374,207161,208265,209354,210347,210932,211490,211860,212285,212447,212814,213306,213792,213869,214156,214506,214863,214639,214294,214081,214147,214342,214534,214847,215507,216384,217001,217301,217435,217614,217619,217455,217285,217176,217341,217807,218406,219237,219995,220942,221461,221870,222051,222532,223087,223987,225047,226095,227097,228071,229065,229772,230109,230450,230830,231636,232478,233488,234383,235717,237523,239413,240715,241350,241713,241942,242309,242655,243424,244272,245273,246180,247469,248593,249574,249890,250245,250480,250661,250817,251174,252007
394692,"Houston, TX",6,110064,110051,109995,109856,109870,110060,110421,110723,111003,111158,111170,111131,111017,110921,110968,111058,111320,111540,111873,112171,112427,113248,113990,114645,114637,114660,114809,115016,115352,115703,116113,116209,116246,116528,117252,118071,118736,119261,119929,120615,121454,122148,122740,123366,124020,124670,124949,124789,124711,124499,124618,124643,125038,125528,125952,126599,127155,127429,127307,126616,126207,125947,126073,126165,126152,126416,126771,127184,127403,127608,127773,128155,128619,129033,129475,129899,130652,131331,131935,132340,132645,133050,133281,133482,133541,133588,133723,133870,134236,134558,134960,135268,135581,136111,137170,138812,139952,141041,141303,142213,142843,143864,144708,145507,146339,147077,147730,148115,148327,148253,148346,148365,148470,148542,148585,148880,148995,149237,149179,149312,149460,149933,150322,150843,151469,152284,153180,153913,154667,155019,154923,154527,154561,154907,155528,155887,156490,157004,157521,157881,158248,157763,157073,156196,155926,155468,155025,154688,154165,153573,153037,152343,151560,150655,150485,150399,150544,150696,151119,151705,151918,151838,151489,151600,151885,151889,151937,152244,152788,153086,152783,151900,150565,149495,148723,148298,147854,147256,146551,145623,144966,144457,144129,144032,143984,143857,143612,142790,142294,142113,142488,143089,143536,144098,144398,144991,145496,145861,145842,146105,146451,147198,148131,149741,151529,153207,154470,155784,157120,158448,159745,160955,162112,163391,164778,165993,167011,167978,169319,170819,172491,174048,175357,176539,177828,179208,180541,182105,183610,185084,186227,186983,187439,187847,188578,189246,189939,190857,191768,192418,192782,193515,194278,195055,195250,195377,195454,196232,197232,197842,198490,199238,200187,200859,201412,201790,201909,202036,202335,202893,203503,204120,204658,205341,206545,207786,208737,209302,210048,210821,211558,212105,212678,213649,214577,215234,215452,215791,216352,216937,217332,217483,217991,218501,219025
395209,"Washington, DC",7,187950,187342,186822,186375,186253,186379,186881,187167,187302,187345,187435,187367,187045,186544,186308,186292,186444,186544,186782,187108,187287,187990,188576,189167,188934,188703,188558,188630,188933,189441,189949,190391,190864,191698,192652,193408,193741,194019,194586,195429,196371,197524,198827,200318,201583,202868,203808,204590,205067,205828,206891,208474,210400,212418,214602,216689,218940,220937,222610,224267,226022,228076,230313,232776,235532,238285,241031,243732,246286,248560,250542,252592,254834,257507,260641,264310,268383,272272,275892,278950,281827,284245,286971,289738,292648,295528,298881,302714,306763,310941,315209,319058,322391,325313,328895,332893,337715,343395,350301,358589,367079,375585,382278,387798,393038,399049,404746,410623,417586,426242,435109,443724,451494,459193,465771,470525,474484,477619,480868,484128,486694,488839,489785,490700,490884,489054,485837,482878,480795,478740,476542,474516,473426,471937,469152,465960,462729,460182,456308,451674,446023,440573,434642,428003,421245,413991,407689,401569,396166,390236,384624,379383,374900,369695,364666,360039,356619,354998,354061,353498,352517,351070,350098,349956,351127,352640,353057,353963,355342,357572,358149,357604,356246,355160,353878,351944,350421,349481,349893,350029,350409,349992,350083,349375,348750,347283,345994,345647,345614,345763,346223,347857,349811,351520,353051,354533,355566,356182,357444,359700,362400,365371,367934,370465,372912,375649,377907,380045,382023,384876,387446,390192,391903,393661,395523,397335,398889,399098,398783,398393,397688,397403,397216,397674,398236,398275,399329,400607,401578,401820,401604,401328,400608,400203,400559,401337,402596,403583,403930,404387,405809,407830,408947,409254,409114,409817,410709,412165,414185,416770,420048,422001,423457,423408,423844,423831,424527,425189,426681,428681,430177,431520,432882,435051,437300,439163,440348,440665,440389,440193,440647,441513,443355,445386,448140,450114,451548,451821,451827,451063,451126,451768,453616,455869,457778
394856,"Miami-Fort Lauderdale, FL",8,126049,126136,126252,126407,126489,126530,126660,126934,127294,127611,127950,128216,128427,128579,128619,128686,128772,128988,129181,129441,129713,130841,131770,132581,132453,132467,132149,131957,131914,132558,133458,134213,134673,134951,135251,135602,135890,136244,137145,138000,138762,138866,139110,139559,140016,140696,141461,142520,143393,144068,144719,145450,146212,147100,148072,149209,150348,151471,152607,153975,155280,156776,158267,160113,162146,164316,166598,168606,170407,172038,173599,175113,176613,178196,179900,181836,184076,186188,188294,190181,192608,195024,197505,200017,202492,205075,207363,209736,212299,215171,218086,220929,223384,226245,228797,231724,234360,237987,241920,246383,251064,255854,260641,265043,269794,274317,279150,284387,289918,296360,303208,311086,318682,326030,332336,337713,342385,347182,351166,355945,361742,367715,372657,375563,377479,378444,378502,378765,378192,377154,375594,373223,370395,367269,364010,360037,355565,350532,346316,340736,335321,327749,321003,313138,306767,299840,294063,287263,279978,272085,264156,256827,250194,243934,238633,233030,228241,223303,219827,216843,214491,212144,210571,209345,208082,207443,207279,207671,207586,207006,205622,204246,202677,201209,198955,196996,195214,193537,192181,191057,190541,189670,188640,187465,186693,186216,185994,185916,185761,185928,185760,186276,186878,188002,189101,190203,191831,193718,195499,196836,198252,200351,203037,206108,209611,212909,215561,218381,221394,224884,228075,231970,235698,239252,241622,243836,245145,246967,248492,250614,252162,253767,255475,256576,258168,259495,261672,263005,264690,265997,267628,268906,270410,272378,274153,276375,278562,280900,282939,284365,286122,287799,290154,292435,294382,295855,297312,299200,301450,303331,305126,306234,307949,309438,310977,312292,314125,315898,317945,319131,320824,321965,324113,326306,328288,330199,331532,333054,333879,334564,334998,336876,338712,340559,340689,341182,341784,342138,342593,342748,342740,342691,343397,344433,345128
394347,"Atlanta, GA",9,121706,122023,122432,122843,123267,123699,124143,124678,125243,125842,126339,126781,127112,127463,127782,128244,128797,129463,130069,130662,131240,132323,133269,134069,134288,134684,135211,135907,136510,137147,137761,138619,139368,140192,140868,141619,142253,142911,143672,144594,145443,146363,147234,148197,149094,149986,150865,151725,152582,153450,154357,155307,156338,157436,158592,159672,160816,161881,162821,163535,164098,164747,165396,166148,166922,167777,168584,169375,170138,170900,171603,172102,172507,172839,173228,173628,174065,174587,175130,175645,176058,176515,176860,177173,177294,177448,177634,177901,178294,178749,179185,179590,180037,180411,180732,180936,181252,181545,181830,182171,182702,183345,183986,184500,185012,185594,186162,186581,186952,187486,188162,188819,189483,190233,190977,191693,192369,193088,193672,194027,194313,194673,195243,195978,196686,197301,197720,198018,198428,198765,199103,199341,199588,199847,199989,200133,200089,199805,199265,198388,197653,196348,194984,193175,191944,190835,189780,188484,187043,185549,183740,181217,178053,174916,172137,169686,167177,164881,163025,161785,160887,159907,158744,157706,157143,156454,155848,155225,155239,155247,154995,153577,151694,149253,147298,145261,143534,141706,140330,138767,137089,134834,132805,131263,130643,130574,130603,130349,129267,128583,128026,128840,129658,130716,131726,132792,133359,133269,133379,134205,135321,136706,138306,140260,142042,143969,145945,147938,150118,152344,154534,156348,158173,159658,161011,162099,163245,164271,165145,166127,166880,167589,168191,168949,169772,170579,171354,172048,172981,174152,175395,176215,176971,177712,178489,179320,180186,181279,182376,183791,185355,186717,187591,188131,188622,189078,189954,191118,192738,193894,195198,196364,197814,199197,200628,201987,202993,204354,205699,207449,209286,211278,213265,214843,216477,217958,219422,220790,222092,223528,225060,226586,227929,228910,229972,231322,232801,233925,234350,234796,235436,236328,237109,237950,239034
