RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
102001,United States,0,182900,179300,175300,172100,171100,170800,170000,168600,165800,162000,159700,158200,156700,152600,149100,148200,150100,152500,154300,155600,156700,157300,158700,159400,160200,157500,155200,152500,152800,153200,154700,154100,153700,152200,152600,151900,149300,146500,144200,144400,145300,145500,145700,145400,145600,146100,145900,145900,146400,147800,149300,150900,152900,155100,155900,156200,156700,158900,160300,161200,161800,163000,164900,166400,169500,171800,172900,172600,171400,171600,171200,172100,172100,172300,172500,173500,175200,176900,177900,178300,178400,179100,180400,182700,184400,186100,186800,187400,188200,188300,188600,188000,187900,189400,191100,192500,192600,193000,193100,194400,195400,197200,197700,199400,201000,202000,203300,204000,205300,205100,205400,206000,207200,208200,210200,211400,213100,213400,216500,220600,224200,224100,221400,219800,219500,219800,219700,220500,222200,223300,226700,229500,232500,232100,231800,232300,233500,234500,235300,237200,239900,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362900,363000,362400,361800,362600,361300,357200,355500,353000,353700,350200,344500,340900,338600,341200,345700,349700,353700,355300,355500,352100,349600,352000,355600,354400,352900,348700,352500,349700,355300,355100,360000,362800,365400,367000,363200,362000,361900,365500,365600,364700,363700,363700,363600,364700,363800,361400,360200,360900,367800,370200,370700,367000,364400,365700,363300,362500,361600,363300,365000,367500,365100,364100,362900,364400,364700,363300,364200,365300,365100,367600,366800,367600,362800,364200,364300,368500,370200,370500,371700,369200,370600,370100,374600,376400,378300,376800,377400,378300,380900,381800,383500,383600,384200,383100,383600,384800,387100,388400,388800,391100,392900,393900,395800,396700,399100,401600,407500,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,470900,459400,443500,432500,418100,405800,391200,379200,366800,355200,340900,331400,325300,319700,316500,322900,333000,341700,347900,353000,359900,362300,364800,362500,360900,357300,360300,358300,360600,356400,361000,358900,361200,356800,353000,351100,349500,350300,346200,342600,341100,339400,339000,334400,333800,331600,331800,330500,331700,337100,339900,344600,348700,356400,364300,371200,378800,386300,390800,395100,401000,414200,425800,436900,443100,447500,450200,451400,452200,451900,450000,452300,452100,456400,460400,463000,465900,467000,470400,473500,474500,476000,476200,482100,486600,492000,490800,494300,495400,499900,499100,499100,500800,507800,515100,517100,517800,519200,524100,525300,526300,528900,531600,528500,526300,521700,524500,520800,524800,526900,534500,537100,538800,541200,547500,559600,577100,587400,594700,596900,602500,603200,604700,606900,609500,611400,614800,620600,626900,624900,625400,624500,631000,636000,633700,632200,634300,638600,643600,646000,651700,659600
394463,"Chicago, IL",3,253500,248700,232700,220900,218800,220200,224500,223800,217900,212900,206200,205400,201600,195500,186700,180800,182200,187000,190500,192700,192400,192000,192400,194600,192900,188700,181500,178800,174200,175500,173900,178300,177800,178700,176700,175200,170600,164800,157900,155800,157800,161600,163300,161400,157400,156000,153300,153300,153000,154200,153700,155200,157100,159400,158800,156700,157100,156600,158200,155600,155200,154800,158600,163100,171500,176600,180600,181200,181800,182300,181400,182400,180600,179400,178900,182700,187300,192000,195000,194900,192900,190800,191200,191800,192700,193600,194200,194100,193000,188200,186100,183800,182500,180900,179700,181300,182300,183700,184400,184800,186200,188900,189300,190800,191100,194300,196200,200200,202900,203600,202500,199600,198200,198400,199800,201200,201400,203400,206100,211500,217600,219500,217100,215300,216200,217600,217800,219100,223300,219500,222100,226800,237700,238100,233700,227400,224900,224700,226700,229100,230900,231900
394514,"Dallas-Fort Worth, TX",4,146000,144100,142200,141600,143700,145800,145900,144200,142900,141100,141200,141300,141800,139800,140000,142000,145600,148100,148600,148200,146900,145500,145700,146000,147200,147400,145800,145800,146500,150600,152200,150800,149500,149500,152200,151400,147800,142900,141300,142000,144800,147100,148900,148700,147700,149000,150700,152100,152900,153700,155500,156900,158700,159800,162000,162100,162200,161900,164000,164600,165300,167100,170400,172400,175200,176800,178500,177400,177800,177300,177600,178200,179200,179200,179200,180300,182300,184200,184500,185300,186500,189200,192700,194200,195100,194700,196500,198200,200500,201200,201900,202000,202500,203400,205500,207700,209400,209900,211400,213700,215200,216700,218500,221100,223800,224800,229000,232100,234300,233200,232300,232100,232100,233700,235800,238500,239500,241900,245800,249900,251400,249100,247100,246600,247600,246100,246000,245200,247000,247400,250600,251600,251900,250200,250500,251900,253300,255900,258100,261200,263800,
394974,"Philadelphia, PA",5,212000,211800,207900,200000,196000,196000,198400,198400,198900,196200,195200,194400,198200,198700,194700,189000,185700,187600,190000,192200,194300,196900,199400,200800,201200,201600,196100,190800,186900,184300,186300,187400,192500,194100,197000,198400,196100,192500,184000,181200,179400,181900,182200,182600,182500,183900,183900,186100,185700,185400,183700,184000,183200,184500,182000,183500,184700,189400,190900,190400,189100,188500,186900,188000,189900,193100,192900,192300,191900,192100,191700,190300,191300,190400,190200,189600,189300,190800,190500,191400,190000,189300,188800,188900,189600,192200,192100,192200,189900,190300,191300,191400,190500,187100,188100,190700,191900,190200,189500,191600,193500,192600,191900,190700,191100,194400,194000,196900,195400,197300,198500,199400,200000,197000,195800,194400,194700,195600,196400,194200,195700,196400,199600,197800,196700,196800,197200,197900,199500,201500,203400,206200,207500,213700,214100,216000,213900,213700,213500,214100,219500,
394692,"Houston, TX",6,145900,144400,141600,142400,143800,145300,147100,144900,141100,135400,134400,134700,137100,139000,141700,144800,147400,149900,150800,149900,147600,144800,144400,144400,145100,145300,143700,143000,142300,144500,145500,146100,146900,149300,149100,148200,145200,143000,141500,142400,143900,146700,147200,148700,148400,150200,148200,145400,143800,147200,150900,154300,155200,156200,154800,154100,155000,156000,156200,154400,155000,159300,163700,167400,169300,171000,172100,171600,172400,172500,172500,173600,175100,177600,178300,178700,177900,180100,180600,182000,180400,181300,183200,184600,185400,185000,186100,188100,189700,191100,189100,188400,186200,187900,189200,190200,188300,189100,191800,196100,199700,201400,203900,204400,207600,209800,211800,211600,211400,211200,211500,212400,212100,211900,212700,215600,217600,217300,217000,218100,218800,220500,221200,220900,220200,219300,221200,223700,226100,229900,229900,230900,228800,230400,230800,230300,228100,228300,230100,234300,238900,243800
395209,"Washington, DC",7,353300,343400,327500,313900,309600,308100,301700,293400,287400,280000,279000,274400,277100,271000,269100,270500,278100,288700,292000,289800,285700,283400,282200,278800,276800,279100,279100,277100,281000,277200,284900,281500,292100,290400,287600,286300,281600,280700,276700,278200,286900,294200,302500,293700,289900,281500,284400,279400,290700,297100,308300,310800,318300,320900,319200,316600,318200,317600,319100,315100,323800,327800,338200,340600,345400,346800,344800,341300,340600,339900,341600,339100,341200,338700,345900,347200,352200,347900,346600,345600,346900,349900,348400,349900,355700,357000,354800,346700,344000,342500,345400,348300,348800,343300,342500,345800,348200,349200,347000,347400,347600,349300,350400,353300,352000,353000,355100,356200,358500,358200,360400,359400,360500,360400,363200,363000,365400,368000,370100,371800,378000,381000,382500,376300,372800,373500,374300,375900,377400,378300,381100,384000,395200,396600,396700,388700,387400,388500,392400,394500,397900,
394856,"Miami-Fort Lauderdale, FL",8,253500,244700,236300,229500,225300,222700,214500,206400,194000,186600,174500,166100,157700,150100,142800,138300,139800,142300,144400,143900,143800,144200,143800,143400,142300,140700,140100,137700,134200,129700,125400,126600,127100,126500,120000,115900,113000,114500,117800,120900,125000,123800,123000,121500,121000,123600,126500,130200,130200,132100,131800,135500,135400,137500,138900,140900,142800,147500,152000,155500,153100,154300,158300,162400,165300,168800,171300,172500,172400,174400,176600,176000,176700,177200,179400,181300,185500,186000,187300,186000,190100,192200,194000,194000,195500,197400,202600,206300,208600,207800,207300,207400,204700,205300,206700,213500,215300,217900,217900,219400,220800,223100,226100,228600,227100,227200,227200,232700,234400,237300,236000,237500,237500,241300,243700,245500,244800,246600,250600,254100,256900,256100,254500,253800,252200,252700,251500,256200,258900,261300,258900,262800,266100,268700,266300,266400,266400,269200,268300,271900,275900,283300
394347,"Atlanta, GA",9,161400,153600,148500,145300,144700,146200,144500,142900,136100,130200,125900,122900,120200,115400,112500,112800,118100,123500,128000,130100,133100,133500,132400,127000,121700,118600,119100,119100,117700,115000,116100,116800,119100,118000,117800,111400,106300,100200,97800,96900,97100,98100,96100,92000,91700,92200,93600,91900,92700,93700,95500,96500,98300,100700,102800,104100,106800,110900,113900,117900,121500,126400,128900,133500,137600,141100,139700,138600,138300,139200,139600,140700,141000,142000,144500,150600,154500,156900,154700,156000,155100,159500,159200,162800,162500,171100,172600,174700,170300,170800,171300,170500,173300,174100,176200,174600,174800,174500,174300,172500,173300,173600,176100,176600,179900,179400,182100,181700,185100,185100,186600,187800,188300,187100,188000,190200,193300,194800,197200,201000,202800,204000,203200,204600,204400,201500,203500,205200,210300,211300,216200,218700,219500,217200,218200,220100,222500,222500,225000,226200,231400,
394404,"Boston, MA",10,333200,327700,323800,319700,318900,318700,316300,315000,308000,302400,291100,291000,286100,289500,286200,290200,294700,301300,306200,306100,302300,305000,305800,310100,308600,308700,306400,308200,314400,321200,320900,319400,318000,314600,302200,291700,285900,288400,295100,304200,314900,317900,319000,311800,307500,299700,298600,296900,303900,308100,312800,318600,324100,326800,323500,322600,323400,321600,316100,317200,321600,331100,333200,336100,338600,343400,345600,347800,346900,348400,348700,351200,351800,348800,347900,348200,352500,354300,353300,353100,353100,354800,356300,361500,362200,361700,358600,359500,364600,368800,370200,369000,366300,366600,366700,366400,367300,369600,372900,376400,378000,379300,380500,381100,381600,382900,385200,389500,394100,395400,395900,395000,397600,398500,401300,404300,409300,411500,408900,411500,414600,421700,422600,425300,425900,426700,423900,425300,427300,426100,426300,431900,440300,441300,439100,438500,443500,445900,447600,450900,451300,454000
395057,"San Francisco, CA",11,566900,522300,483500,457900,444400,425100,403500,372300,344000,324700,313700,304400,287100,274900,274800,296100,320400,339900,355200,364600,373600,384400,386700,382300,372400,363200,371100,376700,390000,392600,398200,393300,382100,376500,372000,367400,352400,343700,341200,342300,344500,349300,353400,351800,349100,344900,345800,341600,340200,346700,364000,384000,400500,409900,418900,427200,434600,447000,450000,452900,454400,480500,510200,535200,547200,550000,552100,550100,551100,552100,559600,565100,568200,566500,568500,568800,573600,581600,593300,597200,591700,585400,580300,590100,599900,612100,612800,611900,613000,621100,625500,625200,626300,641400,650400,647600,630000,626300,630800,644700,650800,651300,645600,643000,650100,662700,675000,675400,676000,682900,690500,696100,691700,698000,706200,719700,731000,738200,741100,750000,756900,765100,773300,777300,777000,763700,762700,774900,786100,786900,785800,790400,789900,785400,782600,780200,770400,759500,766800,782400,789000,806000
395025,"Riverside, CA",12,302800,285000,268900,257800,246000,235800,224600,217600,208400,198100,188900,180100,172300,161700,155700,153700,154000,156200,158000,162300,166600,169700,174600,175700,176600,173000,173700,174500,174300,173600,173800,174400,173300,171900,174400,174800,174800,170500,168500,166500,166100,166900,168600,169900,170600,168500,170300,170000,172800,173300,174700,175500,176900,178200,182400,186500,194200,199900,206200,208400,212500,214200,220000,223900,229700,232700,236800,241700,245700,248400,253100,255400,257200,254400,256900,258000,259500,260400,261400,265000,265900,268600,270000,272300,273600,274500,274000,275500,277100,280600,281800,282700,284100,285700,291200,291700,293500,291400,293200,293500,294800,296500,301200,301800,302600,299800,301300,302400,305100,306900,308300,311200,312100,314100,316200,323900,328000,330700,337300,344800,347500,344900,344300,347000,347300,347500,349800,351400,352700,353400,359300,361300,361900,357200,357900,358400,359500,361800,368400,372900,373600,371000
